poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
42,2,2014,6,12,163,4,24,0,0,0,28.89,47.12,1016.4,3.84,0.01
42,3,2014,6,12,163,4,24,1,0,0,29.94,43.34,1012.32,5.17,0.04
42,1,2014,6,12,163,4,24,2,0,0,29.07,46.35,1011.27,5.1,0.25
42,1,2014,6,13,164,5,24,0,0,0,26.08,57.47,1013.32,4.02,2.73
42,3,2014,6,13,164,5,24,1,0,0,28.81,49.67,1012.14,5.07,4.04
42,2,2014,6,13,164,5,24,2,0,0,28.4,50.9,1010.44,3.85,3.98
42,1,2014,6,14,165,6,24,0,1,0,24.64,62.21,1009.07,3.79,1.93
42,3,2014,6,14,165,6,24,1,1,0,25.16,59.63,1006.7,6.17,2.73
42,1,2014,6,14,165,6,24,2,1,0,22.11,70.31,1008.04,5.86,5.96
42,2,2014,6,15,166,7,24,0,1,0,20.32,69.73,1010.86,6.93,2.71
42,4,2014,6,15,166,7,24,1,1,0,21.82,62.37,1010.57,6.69,3.34
42,3,2014,6,15,166,7,24,2,1,0,21.8,60.58,1010.76,5.3,4.25
42,3,2014,6,16,167,1,25,1,0,0,21.84,57.25,1012.33,6.22,1.92
42,1,2014,6,16,167,1,25,2,0,0,21.79,56.37,1011.42,5.25,2.37
42,1,2014,6,17,168,2,25,0,0,0,21.48,59.94,1011.84,4.96,1.06
42,4,2014,6,17,168,2,25,1,0,0,22.62,55.07,1011.18,5.72,1.3
42,2,2014,6,17,168,2,25,2,0,0,22.65,54.65,1010.18,5.32,1.55
42,1,2014,6,18,169,3,25,0,0,0,21.0,60.65,1012.24,4.84,0.37
42,4,2014,6,18,169,3,25,1,0,0,23.73,48.9,1012.54,6.58,0.55
42,3,2014,6,18,169,3,25,2,0,0,23.58,50.2,1012.43,5.13,0.86
42,2,2014,6,19,170,4,25,0,0,0,22.45,56.9,1013.62,4.96,0.13
42,4,2014,6,19,170,4,25,1,0,0,24.55,48.77,1012.43,6.68,0.24
42,3,2014,6,19,170,4,25,2,0,0,23.8,51.03,1011.22,5.72,0.54
42,1,2014,6,20,171,5,25,0,0,0,22.11,58.85,1010.71,3.69,0.14
42,4,2014,6,20,171,5,25,1,0,0,25.99,46.28,1010.54,5.44,0.21
42,2,2014,6,20,171,5,25,2,0,0,26.36,45.42,1008.13,5.38,0.2
42,2,2014,6,21,172,6,25,0,1,0,22.67,59.25,1013.67,4.9,0.01
42,4,2014,6,21,172,6,25,1,1,0,24.86,53.79,1012.91,5.92,0.04
42,3,2014,6,21,172,6,25,2,1,0,24.95,54.81,1013.32,5.52,0.0
42,3,2014,6,22,173,7,25,0,1,0,23.72,62.47,1017.21,3.45,0.0
42,4,2014,6,22,173,7,25,1,1,0,26.36,55.54,1016.35,5.46,0.0
42,3,2014,6,22,173,7,25,2,1,0,26.7,56.79,1015.84,5.7,0.01
42,2,2014,6,23,174,1,26,1,0,0,26.16,60.59,1016.06,4.97,0.63
42,2,2014,6,23,174,1,26,2,0,0,26.19,60.21,1015.39,4.55,0.74
42,1,2014,6,24,175,2,26,0,0,0,24.31,61.32,1012.83,4.2,2.92
42,3,2014,6,24,175,2,26,1,0,0,26.27,56.35,1011.22,5.22,3.05
42,2,2014,6,24,175,2,26,2,0,0,26.31,58.38,1009.87,5.5,3.09
42,1,2014,6,25,176,3,26,0,0,0,20.89,80.66,1007.95,5.66,7.54
42,2,2014,6,25,176,3,26,1,0,0,21.27,78.87,1004.43,5.84,10.84
42,2,2014,6,25,176,3,26,2,0,0,22.28,73.31,1003.15,5.25,12.85
42,1,2014,6,26,177,4,26,0,0,0,22.06,69.8,1009.67,4.82,0.57
42,4,2014,6,26,177,4,26,1,0,0,23.51,63.84,1008.39,6.08,1.51
42,2,2014,6,26,177,4,26,2,0,0,23.04,65.48,1006.57,4.42,2.65
42,2,2014,6,27,178,5,26,0,0,0,23.54,65.81,1012.42,3.81,0.18
42,4,2014,6,27,178,5,26,1,0,0,24.7,61.14,1013.32,5.21,0.29
42,1,2014,6,27,178,5,26,2,0,0,24.71,61.97,1014.55,4.89,0.54
42,2,2014,6,28,179,6,26,0,1,0,23.2,69.39,1014.63,3.26,1.07
42,4,2014,6,28,179,6,26,1,1,0,25.9,59.24,1014.09,4.71,1.27
42,2,2014,6,28,179,6,26,2,1,0,26.15,58.0,1012.36,4.8,1.38
42,2,2014,6,29,180,7,26,0,1,0,23.99,66.77,1009.58,4.84,0.98
42,3,2014,6,29,180,7,26,1,1,0,24.7,64.43,1007.91,5.3,1.28
